id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_superhost
35797,153786,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,3673.0,1,0,0.0,1,363,0,0
44616,196253,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,18000.0,1,65,0.38,9,360,1,0
56074,265650,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,591.0,15,84,0.48,1,333,1,0
165772,790208,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,3673.0,2,386,2.24,5,201,28,1
171109,816295,Benito Juárez,19.39675,-99.17581,Private room,321.0,4,123,0.88,2,301,15,0
180808,36836,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1190.0,3,62,0.38,1,315,10,0
204887,998053,Cuauhtémoc,19.4059,-99.17548,Entire home/apt,768.0,3,32,0.2,1,294,3,0
245507,1288063,Cuauhtémoc,19.4236,-99.16979,Entire home/apt,905.0,1,412,2.43,4,306,36,1
246057,1288063,Cuauhtémoc,19.42335,-99.16963,Entire home/apt,1056.0,1,313,1.85,4,335,24,1
247543,1297488,Cuauhtémoc,19.43516,-99.13806,Entire home/apt,758.0,3,162,0.97,2,304,28,0
256555,790208,Miguel Hidalgo,19.40663,-99.18653,Entire home/apt,3494.0,2,323,1.92,5,201,2,1
261897,1373924,Cuauhtémoc,19.41877,-99.17199,Entire home/apt,1018.0,5,354,2.12,1,295,0,1
287940,1497087,Cuauhtémoc,19.41236,-99.17533,Entire home/apt,559.0,1,447,3.05,13,328,21,1
326296,1664327,Coyoacán,19.34034,-99.18345,Private room,299.0,2,234,1.53,2,314,9,1
326475,1670032,Cuauhtémoc,19.41444,-99.15734,Private room,750.0,1,163,1.28,2,72,3,1
331030,1688597,Coyoacán,19.34549,-99.15872,Private room,1310.0,2,0,0.0,2,363,0,0
362583,1832239,Cuauhtémoc,19.43165,-99.17132,Entire home/apt,1469.0,3,50,0.32,1,262,5,0
375032,1886913,Cuauhtémoc,19.4075,-99.17561,Private room,10500.0,1,53,0.33,10,352,0,0
386265,1933252,Coyoacán,19.3424,-99.15419,Private room,291.0,4,22,0.16,1,346,1,0
419110,2084312,Cuauhtémoc,19.41017,-99.17886,Private room,606.0,3,49,0.48,1,88,0,0
454693,1601561,Cuauhtémoc,19.40835638269101,-99.17329884322169,Entire home/apt,1678.0,1,290,1.81,1,15,17,0
458808,2281290,Cuauhtémoc,19.42675,-99.1613,Entire home/apt,853.0,1,171,1.42,22,364,46,1
486913,2409917,Cuauhtémoc,19.43898,-99.16142,Entire home/apt,1275.0,1,35,0.22,3,270,0,0
501037,1364145,Cuauhtémoc,19.41578,-99.17425,Entire home/apt,1315.0,5,161,1.01,2,189,34,1
527473,158585,Cuauhtémoc,19.41887,-99.17333,Entire home/apt,2479.0,1,394,2.47,1,261,51,1
544105,2674950,Miguel Hidalgo,19.44289207458496,-99.20138549804688,Private room,838.0,2,74,0.74,1,104,9,0
567176,2336127,Cuauhtémoc,19.45595,-99.15944,Private room,212.0,7,28,0.23,1,302,0,0
